id,mun_ibge6,mun_ibge7,mun_municipio,mun_codreg,mun_regional,mun_codmac,mun_macroreg,features_geometry_coordinatesp,mun_longitude,mun_latitude
141,210840,2108405,Peri Mirim,21011,Pinheiro,2101,Norte,"[-44.85437,-2.57845]",-44.8543,-2.5784
142,210845,2108454,Peritoró,21007,Codó,2102,Leste,"[-44.33337,-4.38346]",-44.3333,-4.3834
143,210850,2108504,Pindaré Mirim,21014,Santa Inês,2101,Norte,"[-45.34338,-3.60846]",-45.3433,-3.6084
144,210860,2108603,Pinheiro,21011,Pinheiro,2101,Norte,"[-45.08338,-2.52145]",-45.0833,-2.5214
145,210870,2108702,Pio XII,21014,Santa Inês,2101,Norte,"[-45.17038,-3.89446]",-45.1703,-3.8944
146,210880,2108801,Pirapemas,21009,Itapecuru-Mirim,2101,Norte,"[-44.22337,-3.72746]",-44.2233,-3.7274
147,210890,2108900,Poção de Pedras,21010,Pedreiras,2102,Leste,"[-44.94338,-4.74647]",-44.9433,-4.7464
148,210900,2109007,Porto Franco,21008,Imperatriz,2103,Sul,"[-47.39939,-6.33847]",-47.3993,-6.3384
149,210905,2109056,Porto Rico do Maranhão,21011,Pinheiro,2101,Norte,"[-44.60537,-1.89345]",-44.6053,-1.8934
150,210910,2109106,Presidente Dutra,21012,Presidente Dutra,2102,Leste,"[-44.49037,-5.29047]",-44.4903,-5.2904
151,210920,2109205,Presidente Juscelino,21013,Rosário,2101,Norte,"[-44.06537,-2.92845]",-44.0653,-2.9284
152,210923,2109239,Presidente Médici,21019,Zé Doca,2101,Norte,"[-45.82038,-2.38745]",-45.8203,-2.3874
153,210927,2109270,Presidente Sarney,21011,Pinheiro,2101,Norte,"[-45.36438,-2.59145]",-45.3643,-2.5914
154,210930,2109304,Presidente Vargas,21009,Itapecuru-Mirim,2101,Norte,"[-44.02437,-3.40746]",-44.0243,-3.4074
155,210940,2109403,Primeira Cruz,21013,Rosário,2101,Norte,"[-43.43836,-2.51045]",-43.4383,-2.5104
156,210945,2109452,Raposa,21016,São Luís,2101,Norte,"[-44.10337,-2.42345]",-44.1033,-2.4234
157,210950,2109502,Riachão,21003,Balsas,2103,Sul,"[-46.61739,-7.36248]",-46.6173,-7.3624
158,210955,2109551,Ribamar Fiquene,21008,Imperatriz,2103,Sul,"[-47.38439,-5.93047]",-47.3843,-5.9304
159,210960,2109601,Rosário,21013,Rosário,2101,Norte,"[-44.23537,-2.93445]",-44.2353,-2.9344
160,210970,2109700,Sambaíba,21003,Balsas,2103,Sul,"[-45.34638,-7.14048]",-45.3463,-7.1404
161,210975,2109759,Santa Filomena do Maranhão,21012,Presidente Dutra,2102,Leste,"[-44.56137,-5.50147]",-44.5613,-5.5014
162,210980,2109809,Santa Helena,21011,Pinheiro,2101,Norte,"[-45.30038,-2.23145]",-45.3003,-2.2314
163,210990,2109908,Santa Inês,21014,Santa Inês,2101,Norte,"[-45.38038,-3.66746]",-45.3803,-3.6674
164,211000,2110005,Santa Luzia,21014,Santa Inês,2101,Norte,"[-45.69038,-4.06946]",-45.6903,-4.0694
165,211003,2110039,Santa Luzia do Paruá,21019,Zé Doca,2101,Norte,"[-45.77338,-2.62945]",-45.7733,-2.6294
166,211010,2110104,Santa Quitéria do Maranhão,21006,Chapadinha,2101,Norte,"[-42.54736,-3.51646]",-42.5473,-3.5164
167,211020,2110203,Santa Rita,21013,Rosário,2101,Norte,"[-44.32637,-3.14446]",-44.3263,-3.1444
168,211023,2110237,Santana do Maranhão,21013,Rosário,2101,Norte,"[-42.41236,-3.11646]",-42.4123,-3.1164
169,211027,2110278,Santo Amaro do Maranhão,21013,Rosário,2101,Norte,"[-43.25436,-2.50045]",-43.2543,-2.5004
170,211030,2110302,Santo Antônio dos Lopes,21012,Presidente Dutra,2102,Leste,"[-44.36037,-4.86947]",-44.3603,-4.8694
171,211040,2110401,São Benedito do Rio Preto,21009,Itapecuru-Mirim,2101,Norte,"[-43.52836,-3.33446]",-43.5283,-3.3344
172,211050,2110500,São Bento,21018,Viana,2101,Norte,"[-44.82137,-2.69645]",-44.8213,-2.6964
173,211060,2110609,São Bernardo,21006,Chapadinha,2101,Norte,"[-42.41836,-3.36146]",-42.4183,-3.3614
174,211065,2110658,São Domingos do Azeitão,21015,São João dos Patos,2103,Leste,"[-44.64537,-6.81048]",-44.6453,-6.8104
175,211070,2110708,São Domingos do Maranhão,21012,Presidente Dutra,2102,Leste,"[-44.38537,-5.57647]",-44.3853,-5.5764
